logradouro;numero;complemento;valor_avaliacao;bairro;cidade;uf;ano_construcao;area_terreno;area_construida;fracao_ideal;padrao_acabamento;tipo_construcao;tipo_ocupacao;data_transacao;estado_conservacao;tipo_imovel;sfh;cod_logradouro;latitude;longitude;ano;year
rua do futuro;514;apto 107 edf futuro prince;460000,00;Gracas;Recife;PE;2014;2779,68;88,44;0,00888;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-12-01;Bom;Apartamento;270000,00;25879;-8.040062;-34.900286;2023;2023
rua do futuro;514;apto 305 edf futuro prince;450000,00;Gracas;Recife;PE;2014;2779,68;89,2;0,00897;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-10-02;Bom;Apartamento;350000,00;25879;-8.040062;-34.900286;2023;2023
rua do futuro;514;apto 308 edf futuro prince;480000,00;Gracas;Recife;PE;2014;2779,68;88,44;0,00888;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-08-30;Bom;Apartamento;0,00;25879;-8.040062;-34.900286;2023;2023
rua do futuro;514;apto 1003 edf futuro prince;500000,00;Gracas;Recife;PE;2014;2779,68;88,44;0,00888;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-09-18;Bom;Apartamento;0,00;25879;-8.040062;-34.900286;2023;2023
rua do futuro;514;apto 1202 edf futuro prince;490000,00;Gracas;Recife;PE;2014;2779,68;101,81;0,00897;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-06-26;Bom;Apartamento;217746,92;25879;-8.040062;-34.900286;2023;2023
rua xavier marques;77;apto 0801 edf ingazeira;929613,17;Gracas;Recife;PE;1990;718,75;285,22;0,07691;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-09-13;Bom;Apartamento;0,00;65471;-8.039037;-34.900551;2023;2023
rua xavier marques;77;apto 1201 edf ingazeira;970733,86;Gracas;Recife;PE;1990;718,75;285,22;0,07691;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-09-15;Bom;Apartamento;0,00;65471;-8.039037;-34.900551;2023;2023
rua xavier marques;63;apto 201 edf montarroyos residence;278763,40;Gracas;Recife;PE;2011;835,4;82,93;0,02564;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-06-23;Bom;Apartamento;0,00;65471;-8.038812;-34.900687;2023;2023
av conselheiro rosa e silva;1321;;3350000,00;Gracas;Recife;PE;1952;828,0;1013,79;1,0;Médio;Casa;COMERCIAL COM LIXO ORGANICO;2023-06-14;Bom;Casa;0,00;59382;-8.040149;-34.89927;2023;2023
av conselheiro rosa e silva;1321;;3350000,00;Gracas;Recife;PE;1952;828,0;1013,79;1,0;Médio;Casa;COMERCIAL COM LIXO ORGANICO;2023-03-27;Bom;Casa;0,00;59382;-8.040149;-34.89927;2023;2023
av conselheiro rosa e silva;1283;apto 0102 edf ilha kalimnos;376729,56;Gracas;Recife;PE;1984;1569,12;104,43;0,01595;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-04-04;Bom;Apartamento;0,00;59382;-8.040506;-34.899166;2023;2023
av conselheiro rosa e silva;1241;apto 0701 edf maria augusta;640000,00;Gracas;Recife;PE;1979;1283,75;212,15;0,03123;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-11-01;Bom;Apartamento;0,00;59382;-8.040636;-34.898926;2023;2023
rua teixeira pinto;38;apto 0202 edf manoel bandeira;350000,00;Gracas;Recife;PE;1980;946,68;138,63;0,03807;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-11-14;Bom;Apartamento;113318,87;60429;-8.040826;-34.89917;2023;2023
av conselheiro rosa e silva;1117;;1350000,00;Gracas;Recife;PE;1939;360,0;372,5;1,0;Médio;Loja <= 4 Pavimentos;COMERCIAL COM LIXO ORGANICO;2023-05-03;Bom;Loja;0,00;59382;-8.041638;-34.898317;2023;2023
rua barao de contendas;102;apto 0401 edf sândalo;310000,00;Gracas;Recife;PE;1980;710,64;118,96;0,03101;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-12-18;Bom;Apartamento;0,00;17442;-8.041851;-34.898976;2023;2023
rua do futuro;342;apto 1001 edf barão de utinga;590000,00;Gracas;Recife;PE;1998;838,5;151,4;0,03533;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-01-25;Bom;Apartamento;150000,00;25879;-8.041431;-34.899362;2023;2023
rua do futuro;342;apto 1101 edf barão de utinga;549714,58;Gracas;Recife;PE;1998;838,5;151,4;0,03533;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-11-24;Bom;Apartamento;0,00;25879;-8.041431;-34.899362;2023;2023
av conselheiro rosa e silva;955;apto 1001 edf imbé;750000,00;Gracas;Recife;PE;1977;1469,0;239,29;0,04279;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-02-09;Bom;Apartamento;0,00;59382;-8.043064;-34.897867;2023;2023
av conselheiro rosa e silva;955;apto 1001 edf imbé;750000,00;Gracas;Recife;PE;1977;1469,0;239,29;0,04279;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-08-18;Bom;Apartamento;0,00;59382;-8.043064;-34.897867;2023;2023
av conselheiro rosa e silva;955;apto 1001 edf imbé;750000,00;Gracas;Recife;PE;1977;1469,0;239,29;0,04279;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-02-09;Bom;Apartamento;0,00;59382;-8.043064;-34.897867;2023;2023
av conselheiro rosa e silva;955;apto 0801 edf imbé;900000,00;Gracas;Recife;PE;1977;1469,0;239,29;0,04279;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-04-25;Bom;Apartamento;640000,00;59382;-8.043064;-34.897867;2023;2023
rua do futuro;74;apto 0801 edf mar do caribe;385000,00;Gracas;Recife;PE;1987;680,48;109,17;0,04212;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-01-26;Bom;Apartamento;248000,00;25879;-8.043609;-34.898136;2023;2023
rua do futuro;74;apto 0701 edf mar do caribe;415000,00;Gracas;Recife;PE;1987;680,48;109,17;0,04212;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-09-15;Bom;Apartamento;165000,00;25879;-8.043609;-34.898136;2023;2023
rua do futuro;74;apto 0803 edf mar do caribe;320000,00;Gracas;Recife;PE;1987;680,48;103,41;0,0399;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-08-30;Bom;Apartamento;190000,00;25879;-8.043609;-34.898136;2023;2023
rua do futuro;96;apto 0501 edf solar princesa leopoldina;435614,24;Gracas;Recife;PE;1975;850,0;185,51;0,05152;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-04-11;Bom;Apartamento;200000,00;25879;-8.043412;-34.898182;2023;2023
rua monsenhor nivaldo estella de mello;168;casa 0025;800000,00;Gracas;Recife;PE;1940;159,27;295,99;1,0;Simples;Casa;RESIDENCIAL;2023-03-29;Bom;Casa;0,00;75450;-8.042675;-34.898188;2023;2023
rua do futuro;180;apto 1002 edf colorado;197131,51;Gracas;Recife;PE;2000;728,21;50,67;0,01404;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-04-14;Bom;Apartamento;150000,00;25879;-8.04257;-34.89842;2023;2023
rua do futuro;180;apto 0201 edf colorado;212052,79;Gracas;Recife;PE;2000;728,21;57,24;0,01587;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-02-24;Bom;Apartamento;0,00;25879;-8.04257;-34.89842;2023;2023
rua do futuro;180;apto 0501 edf colorado;215197,40;Gracas;Recife;PE;2000;728,21;57,24;0,01587;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-07-24;Bom;Apartamento;0,00;25879;-8.04257;-34.89842;2023;2023
rua do futuro;180;apto 0403 edf colorado;214144,04;Gracas;Recife;PE;2000;728,21;57,24;0,01587;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-02-02;Bom;Apartamento;0,00;25879;-8.04257;-34.89842;2023;2023
rua do futuro;180;apto 0505 edf colorado;195000,00;Gracas;Recife;PE;2000;728,21;56,14;0,01556;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-12-26;Bom;Apartamento;154267,20;25879;-8.04257;-34.89842;2023;2023
av conselheiro rosa e silva;801;apto 304 edf antonio dourado netto;523640,93;Gracas;Recife;PE;2020;2040,0;150,44;0,01747;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-06-01;Bom;Apartamento;0,00;59382;-8.04406;-34.897579;2023;2023
av conselheiro rosa e silva;801;apto 405 edf antonio dourado netto;520000,00;Gracas;Recife;PE;2020;2040,0;150,44;0,01747;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-05-08;Bom;Apartamento;0,00;59382;-8.04406;-34.897579;2023;2023
rua amelia;304;;3031387,75;Gracas;Recife;PE;1939;861,0;811,73;1,0;Médio;Casa;COMERCIAL SEM LIXO ORGANICO;2023-11-17;Bom;Casa;0,00;73237;-8.044964;-34.897957;2023;2023
rua amelia;330;apto 0701 edf joaquim de brito;349000,00;Gracas;Recife;PE;2003;816,64;115,16;0,02499;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-05-17;Bom;Apartamento;0,00;73237;-8.044922;-34.898142;2023;2023
rua amelia;330;apto 1201 edf joaquim de brito;403366,54;Gracas;Recife;PE;2003;816,64;115,16;0,02499;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-06-26;Bom;Apartamento;0,00;73237;-8.044922;-34.898142;2023;2023
rua do futuro;10;garagem 59 edf cap saint michell;32170,00;Gracas;Recife;PE;2012;1457,71;18,74;0,00325;Médio;Edificação Garagem;RESIDENCIAL;2023-07-14;Bom;Garagem Residencial;0,00;25879;-8.044453;-34.897975;2023;2023
rua do futuro;10;apto 602 edf cap saint michell;419000,00;Gracas;Recife;PE;2012;1457,71;94,25;0,01636;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-08-23;Bom;Apartamento;250000,00;25879;-8.044453;-34.897975;2023;2023
rua do futuro;30;apto 0301 edf acauã;690000,00;Gracas;Recife;PE;1983;532,0;266,57;0,14285;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-02-23;Bom;Apartamento;400000,00;25879;-8.04407;-34.898018;2023;2023
av conselheiro rosa e silva;537;apto 0504 edf ana elizabeth-bloco a;323867,35;Gracas;Recife;PE;1972;2500,0;129,92;0,01265;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-11-21;Bom;Apartamento;0,00;59382;-8.046617;-34.897377;2023;2023
av conselheiro rosa e silva;537;apto 0602 edf ana elizabeth-bloco a;451934,85;Gracas;Recife;PE;1972;2500,0;185,6;0,01808;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-01-16;Bom;Apartamento;0,00;59382;-8.046617;-34.897377;2023;2023
av conselheiro rosa e silva;537;apto 0803 edf ana elizabeth-bloco a;325813,37;Gracas;Recife;PE;1972;2500,0;129,92;0,01265;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-12-21;Bom;Apartamento;0,00;59382;-8.046617;-34.897377;2023;2023
av conselheiro rosa e silva;537;apto 0507 edf ana elizabeth-bloco b;330000,00;Gracas;Recife;PE;1972;2500,0;129,92;0,01265;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-01-18;Bom;Apartamento;224000,00;59382;-8.046617;-34.897377;2023;2023
rua do cupim;186;;1000000,00;Gracas;Recife;PE;1939;240,0;283,18;1,0;Simples;Casa;RESIDENCIAL;2023-09-01;Bom;Casa;0,00;18708;-8.046293;-34.89774;2023;2023
rua do cupim;228;apto 506 edf studio graças;250000,00;Gracas;Recife;PE;2018;1098,0;54,92;0,01433;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-03-19;Bom;Apartamento;0,00;18708;-8.046102;-34.897647;2023;2023
rua hoel sette;130;apto 501 edf puerto bilbao residence;250000,00;Jaqueira;Recife;PE;2010;552,0;57,48;0,03497;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-12-12;Bom;Apartamento;0,00;29122;-8.035838;-34.903276;2023;2023
rua hoel sette;130;apto 501 edf puerto bilbao residence;250000,00;Jaqueira;Recife;PE;2010;552,0;57,48;0,03497;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-12-12;Bom;Apartamento;0,00;29122;-8.035838;-34.903276;2023;2023
rua hoel sette;144;apto 1301 edf sobrado da praça;1370000,00;Jaqueira;Recife;PE;1982;1052,0;380,53;0,07211;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-06-22;Bom;Apartamento;1088000,00;29122;-8.035899;-34.903466;2023;2023
rua hoel sette;158;apto 1201 edf regina vilaça;1850000,00;Jaqueira;Recife;PE;1991;699,54;528,23;0,15421;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-09-11;Bom;Apartamento;0,00;29122;-8.035978;-34.903669;2023;2023
rua do futuro;1150;apto 302 edf res gildo vilaca;360000,00;Jaqueira;Recife;PE;2007;1224,0;64,07;0,01345;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-07-14;Bom;Apartamento;240400,00;25879;-8.035911;-34.903916;2023;2023
rua do futuro;1150;apto 802 edf res gildo vilaca;286000,00;Jaqueira;Recife;PE;2007;1224,0;64,07;0,01345;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-09-21;Bom;Apartamento;0,00;25879;-8.035911;-34.903916;2023;2023
rua simao mendes;195;apto 0401 edf morada da jaqueira;800000,00;Jaqueira;Recife;PE;1981;1480,05;239,97;0,02849;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-09-08;Bom;Apartamento;0,00;55670;-8.035665;-34.903749;2023;2023
av dr malaquias;145;apto 402 edf res monte ararat;390000,00;Gracas;Recife;PE;2006;961,84;108,39;0,01945;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-11-28;Bom;Apartamento;203267,24;40797;-8.038862;-34.901466;2023;2023
av dr malaquias;103;apto 0401 edf aluisio moura;780000,00;Gracas;Recife;PE;1982;1145,0;240,3;0,03638;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-07-26;Bom;Apartamento;300000,00;40797;-8.038769;-34.901218;2023;2023
av dr malaquias;103;apto 0401 edf aluisio moura;656114,93;Gracas;Recife;PE;1982;1145,0;240,3;0,03638;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-03-15;Bom;Apartamento;0,00;40797;-8.038769;-34.901218;2023;2023
av dr malaquias;103;apto 0402 edf aluisio moura;800000,00;Gracas;Recife;PE;1982;1145,0;240,3;0,03638;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-10-30;Bom;Apartamento;500000,00;40797;-8.038769;-34.901218;2023;2023
av dr malaquias;103;apto 0501 edf aluisio moura;663253,26;Gracas;Recife;PE;1982;1145,0;240,3;0,03638;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-03-14;Bom;Apartamento;0,00;40797;-8.038769;-34.901218;2023;2023
av dr malaquias;103;apto 0501 edf aluisio moura;663253,26;Gracas;Recife;PE;1982;1145,0;240,3;0,03638;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-04-04;Bom;Apartamento;0,00;40797;-8.038769;-34.901218;2023;2023
prc professor fleming;30;;1930874,50;Jaqueira;Recife;PE;1955;336,0;390,76;1,0;Médio;Casa;COMERCIAL COM LIXO ORGANICO;2023-10-09;Bom;Casa;0,00;66443;-8.035015;-34.905431;2023;2023
prc professor fleming;145;apto 0901 edf clarinda priori;1800000,00;Jaqueira;Recife;PE;1998;881,9;347,38;0,0625;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-01-31;Bom;Apartamento;0,00;66443;-8.035846;-34.906001;2023;2023
prc professor fleming;77;apto 0801 edf hockenheim;1900000,00;Jaqueira;Recife;PE;1997;1415,24;427,31;0,04753;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-01-31;Bom;Apartamento;0,00;66443;-8.035483;-34.905344;2023;2023
av rui barbosa;1654;;2300000,00;Gracas;Recife;PE;1939;1572,0;1021,0;1,0;Médio;Instituição Hospitalar;COMERCIAL COM LIXO ORGANICO;2023-06-15;Bom;Hospital;0,00;59595;-8.039006;-34.904257;2023;2023
rua deputado pedro pires ferreira;405;loja 0008 edf crystal center;500000,00;Gracas;Recife;PE;2003;1451,4;48,85;0,02684;Médio;Loja <= 4 Pavimentos;COMERCIAL COM LIXO ORGANICO;2023-09-04;Bom;Loja;0,00;67547;-8.038546;-34.904579;2023;2023
rua deputado pedro pires ferreira;325;apto 0304 edf jaqueira prince;550000,00;Gracas;Recife;PE;1999;1212,0;111,14;0,0147;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-01-10;Bom;Apartamento;295000,00;67547;-8.038398;-34.904163;2023;2023
rua deputado pedro pires ferreira;325;apto 0304 edf jaqueira prince;550000,00;Gracas;Recife;PE;1999;1212,0;111,14;0,0147;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-06-20;Bom;Apartamento;0,00;67547;-8.038398;-34.904163;2023;2023
rua deputado pedro pires ferreira;301;apto 1701 edf saint paul de vence;1970000,00;Gracas;Recife;PE;1996;1600,11;437,75;0,04545;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-10-17;Bom;Apartamento;0,00;67547;-8.038271;-34.903812;2023;2023
rua deputado pedro pires ferreira;301;apto 1901 edf saint paul de vence;2100000,00;Gracas;Recife;PE;1996;1600,11;437,75;0,04545;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-06-28;Bom;Apartamento;0,00;67547;-8.038271;-34.903812;2023;2023
