logradouro;numero;complemento;valor_avaliacao;bairro;ano_construcao;area_terreno;area_construida;fracao_ideal;padrao_acabamento;tipo_construcao;tipo_ocupacao;data_transacao;estado_conservacao;tipo_imovel;valores_financiados_sfh;cod_logradouro;latitude;longitude;ano;year;mes_transacao;ano_transacao;idade_imovel;valor_por_m2;tem_financiamento_sfh;categoria_valor;categoria_area;tem_coordenadas
rua engenheiro sampaio;68;apto 105 splendid rosarinho;415000.0;Rosarinho;2014;2202.75;99.82;0.01211;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-24;Bom;Apartamento;288000.0;53627;-8.033695;-34.897214;2025;2025;4;2025;11;4157.483470246444;1;Medium-High;Medium;1
rua engenheiro sampaio;68;apto 303 splendid rosarinho;77377.67;Rosarinho;2014;2202.75;59.93;0.00727;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-23;Bom;Apartamento;0.0;53627;-8.033695;-34.897214;2025;2025;4;2025;11;1291.1341565159353;0;Low;Medium;1
rua eng sampaio;110;apto 1002 edf villa aguinaldo jurema;761207.97;Rosarinho;2016;1084.52;180.0;0.025;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-20;Bom;Apartamento;0.0;53627;;;2025;2025;1;2025;9;4228.933166666667;0;High;Large;0
rua andre reboucas;45;apto 502 edf david becker;1150000.0;Rosarinho;2013;2610.0;207.27;0.01314;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-23;Bom;Apartamento;0.0;4928;-8.033397;-34.896962;2025;2025;4;2025;12;5548.318618227432;0;High;Extra Large;1
rua andre reboucas;45;apto 502 edf david becker;1150000.0;Rosarinho;2013;2610.0;207.27;0.01314;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-19;Bom;Apartamento;0.0;4928;-8.033397;-34.896962;2025;2025;3;2025;12;5548.318618227432;0;High;Extra Large;1
rua andre reboucas;45;apto 2702 edf david becker;1498000.0;Rosarinho;2013;2610.0;207.27;0.01314;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-06;Bom;Apartamento;445000.0;4928;-8.033397;-34.896962;2025;2025;5;2025;12;7227.288078351908;1;High;Extra Large;1
rua engenheiro sampaio;59;apto 1601 edf gran parc premium-bloco b;860000.0;Rosarinho;2015;2961.24;151.19;0.00735;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-20;Bom;Apartamento;530000.0;53627;-8.0341;-34.897511;2025;2025;3;2025;10;5688.206891990211;1;High;Large;1
av santos dumont;815;apto 2502 edf pedra do sitio das roseiras;640000.0;Rosarinho;2008;1020.0;148.26;0.01999;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-19;Bom;Apartamento;434000.0;53996;-8.034253;-34.897062;2025;2025;5;2025;17;4316.7408606502095;1;High;Large;1
av santos dumont;815;apto 1202 edf pedra do sitio das roseiras;725000.0;Rosarinho;2008;1020.0;148.26;0.01999;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-23;Bom;Apartamento;0.0;53996;-8.034253;-34.897062;2025;2025;1;2025;17;4890.058006205315;0;High;Large;1
av santos dumont;815;apto 2501 edf pedra do sitio das roseiras;650000.0;Rosarinho;2008;1020.0;148.26;0.01999;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-27;Bom;Apartamento;400000.0;53996;-8.034253;-34.897062;2025;2025;5;2025;17;4384.189936597869;1;High;Large;1
rua caio pereira;275;apto 0202 edf artemis;608000.0;Rosarinho;1999;1075.2;162.45;0.02173;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-31;Bom;Apartamento;242500.0;13269;-8.034534;-34.8972;2025;2025;3;2025;26;3742.6900584795326;1;High;Large;1
rua caio pereira;275;apto 1002 edf artemis;610000.0;Rosarinho;1999;1075.2;162.45;0.02173;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-09;Bom;Apartamento;0.0;13269;-8.034534;-34.8972;2025;2025;4;2025;26;3755.0015389350574;0;High;Large;1
rua caio pereira;175;apto 1402 edf maria esther;1000000.0;Rosarinho;2009;1050.63;189.82;0.03333;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-10;Bom;Apartamento;0.0;13269;-8.034401;-34.898153;2025;2025;4;2025;16;5268.1487725213365;0;High;Large;1
av santos dumont;725;apto 2702 edf desb dirceu borges;1280000.0;Rosarinho;2008;1918.49;200.45;0.01785;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-22;Bom;Apartamento;780000.0;53996;-8.034973;-34.897451;2025;2025;5;2025;17;6385.632327263657;1;High;Extra Large;1
av santos dumont;725;apto 302 edf desb dirceu borges;1000000.0;Rosarinho;2008;1918.49;200.45;0.01785;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-10;Bom;Apartamento;241165.25;53996;-8.034973;-34.897451;2025;2025;4;2025;17;4988.775255674732;1;High;Extra Large;1
rua doutor jose maria;792;apto 1104 edf parque da jaqueira home service;302733.34;Rosarinho;2011;1129.36;74.88;0.01114;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-28;Bom;Apartamento;0.0;36196;-8.035164;-34.898152;2025;2025;3;2025;14;4042.9131944444453;0;Medium-Low;Medium;1
rua regueira costa;287;apto 2002 edf saint guilherme;960000.0;Rosarinho;2013;1166.23;165.25;0.02001;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-26;Bom;Apartamento;740000.0;57029;-8.032697;-34.898533;2025;2025;2;2025;12;5809.379727685326;1;High;Large;1
rua regueira costa;287;apto 2401 edf saint guilherme;723406.43;Rosarinho;2013;1166.23;165.25;0.02001;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-24;Bom;Apartamento;443000.0;57029;-8.032697;-34.898533;2025;2025;2;2025;12;4377.648593040847;1;High;Large;1
rua regueira costa;265;apto 1901 edf. quinta das orquídeas;356000.0;Rosarinho;2021;1639.99;74.7;0.01006;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-21;Bom;Apartamento;224000.0;57029;-8.032985;-34.898666;2025;2025;1;2025;4;4765.729585006693;1;Medium-Low;Medium;1
rua engenheiro sampaio;255;apto 0903 edf débora;376193.89;Rosarinho;2003;1022.4;101.43;0.01716;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-29;Bom;Apartamento;245000.0;53627;-8.033781;-34.899086;2025;2025;1;2025;22;3708.9016070196194;1;Medium-High;Large;1
rua caio pereira;75;apto 601 edf abelardo carneiro leão;800000.0;Rosarinho;2017;1030.98;181.32;0.03231;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-04;Bom;Apartamento;0.0;13269;;;2025;2025;2;2025;8;4412.089124200309;0;High;Large;0
rua general abreu e lima;144;apto 1901 edf mirante;1620000.0;Rosarinho;2012;2210.0;237.22;0.01562;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-16;Bom;Apartamento;0.0;388;-8.034044;-34.89935;2025;2025;5;2025;13;6829.1037855155555;0;High;Extra Large;1
rua general abreu e lima;144;apto 2802 edf mirante;1700000.0;Rosarinho;2012;2210.0;237.22;0.01562;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-20;Bom;Apartamento;0.0;388;-8.034044;-34.89935;2025;2025;3;2025;13;7166.343478627435;0;High;Extra Large;1
av norte miguel arraes de alencar;3533;apto 0301 bloco p3;370000.0;Tamarineira;1984;16216.63;106.13;0.00583;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-11;Bom;Apartamento;220000.0;46540;-8.031186;-34.899559;2025;2025;3;2025;41;3486.2903985677945;1;Medium-High;Large;1
rua general abreu e lima;233;apto 1301 edf morada ilha verde;1700000.0;Tamarineira;1997;4876.49;405.46;0.03846;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-18;Bom;Apartamento;0.0;388;-8.033159;-34.899861;2025;2025;2;2025;28;4192.768707147437;0;High;Extra Large;1
rua general abreu e lima;65;apto 1801 edf quinta das oliveiras;762962.51;Tamarineira;2004;1068.0;192.86;0.02658;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-20;Bom;Apartamento;0.0;388;-8.03449;-34.900195;2025;2025;5;2025;21;3956.043295654879;0;High;Large;1
rua general abreu e lima;65;apto 1001 edf quinta das oliveiras;727884.89;Tamarineira;2004;1068.0;192.86;0.02658;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-01;Bom;Apartamento;0.0;388;-8.03449;-34.900195;2025;2025;4;2025;21;3774.162034636524;0;High;Large;1
rua doutor jose maria;1135;apto 701 edf la vie garden;850000.0;Tamarineira;2004;957.77;216.47;0.04347;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-16;Bom;Apartamento;0.0;36196;-8.035099;-34.901315;2025;2025;4;2025;21;3926.641105003003;0;High;Extra Large;1
av conselheiro rosa e silva;1930;apto 101 edf golden jaqueira home service;280183.71;Tamarineira;2024;1644.09;65.72;0.01419;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-11;Bom;Apartamento;0.0;59382;-8.035235;-34.901863;2025;2025;2;2025;1;4263.294430919051;0;Medium-Low;Medium;1
av conselheiro rosa e silva;1930;apto 101 edf golden jaqueira home service;280183.71;Tamarineira;2024;1644.09;65.72;0.01419;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-11;Bom;Apartamento;0.0;59382;-8.035235;-34.901863;2025;2025;2;2025;1;4263.294430919051;0;Medium-Low;Medium;1
av conselheiro rosa e silva;1930;apto 103 edf golden jaqueira home service;284632.63;Tamarineira;2024;1644.09;66.87;0.01443;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-26;Bom;Apartamento;0.0;59382;-8.035235;-34.901863;2025;2025;3;2025;1;4256.507103334829;0;Medium-Low;Medium;1
av conselheiro rosa e silva;1930;apto 303 edf golden jaqueira home service;288001.54;Tamarineira;2024;1644.09;66.87;0.01443;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-25;Bom;Apartamento;0.0;59382;-8.035235;-34.901863;2025;2025;1;2025;1;4306.887094362195;0;Medium-Low;Medium;1
av conselheiro rosa e silva;1930;apto 802 edf golden jaqueira home service;333000.0;Tamarineira;2024;1644.09;66.87;0.01443;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-24;Bom;Apartamento;200000.0;59382;-8.035235;-34.901863;2025;2025;4;2025;1;4979.8115746971735;1;Medium-Low;Medium;1
av conselheiro rosa e silva;1930;apto 805 edf golden jaqueira home service;330000.0;Tamarineira;2024;1644.09;65.72;0.01418;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-26;Bom;Apartamento;0.0;59382;-8.035235;-34.901863;2025;2025;2;2025;1;5021.3024954351795;0;Medium-Low;Medium;1
rua ricardo hardman;55;apto 1301 edf rita de cássia - bloco a;2200000.0;Tamarineira;2017;7011.16;282.1;0.01108;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-30;Bom;Apartamento;0.0;57444;-8.036339;-34.901258;2025;2025;1;2025;8;7798.6529599432815;0;High;Extra Large;1
rua ricardo hardman;55;apto 1301 edf rita de cássia - bloco a;2200000.0;Tamarineira;2017;7011.16;282.1;0.01108;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-13;Bom;Apartamento;0.0;57444;-8.036339;-34.901258;2025;2025;3;2025;8;7798.6529599432815;0;High;Extra Large;1
rua doutor jose maria;931;apto 0101 edf tacumã;420000.0;Tamarineira;1988;480.0;152.33;0.08333;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-23;Bom;Apartamento;0.0;36196;;;2025;2025;5;2025;37;2757.1719293638807;0;Medium-High;Large;0
rua coronel uriel sergio cardim;71;apto 1301 edf. privilege jaqueira;800000.0;Tamarineira;2018;1771.16;113.3;0.01812;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-26;Bom;Apartamento;0.0;62421;;;2025;2025;5;2025;7;7060.90026478376;0;High;Large;0
rua coronel uriel sergio cardim;71;apto 1002 edf. privilege jaqueira;700000.0;Tamarineira;2018;1771.16;113.3;0.01812;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-21;Bom;Apartamento;0.0;62421;;;2025;2025;3;2025;7;6178.28773168579;0;High;Large;0
rua coronel uriel sergio cardim;71;apto 101 edf. privilege jaqueira;386523.94;Tamarineira;2018;1771.16;100.51;0.01683;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-30;Bom;Apartamento;0.0;62421;;;2025;2025;5;2025;7;3845.626703810566;0;Medium-High;Large;0
av conselheiro rosa e silva;2075;apto 1202 edf dafna;600000.0;Tamarineira;1999;884.52;190.85;0.03333;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-22;Bom;Apartamento;0.0;59382;-8.0344;-34.903027;2025;2025;4;2025;26;3143.830233167409;0;High;Large;1
rua simao mendes;200;apto 601 edf saint elisee;2600000.0;Tamarineira;2007;3496.0;307.2;0.01515;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-13;Bom;Apartamento;0.0;55670;-8.035144;-34.90395;2025;2025;2;2025;18;8463.541666666668;0;High;Extra Large;1
rua doutor jose maria;517;apto 0302 edf três marias;630000.0;Encruzilhada;1994;1284.8;226.47;0.03333;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-06-03;Bom;Apartamento;0.0;36196;-8.036417;-34.896037;2025;2025;6;2025;31;2781.82540733872;0;High;Extra Large;1
rua doutor jose maria;485;apto 0602 edf vila velha colonial;447927.73;Encruzilhada;1998;905.18;140.46;0.02941;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-26;Bom;Apartamento;250000.0;36196;-8.036494;-34.895721;2025;2025;2;2025;27;3189.0056243770464;1;Medium-High;Large;1
rua gomes de matos junior;75;apto 202 edf quinta do algarve;980000.0;Encruzilhada;2008;1492.22;197.24;0.02265;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-09;Bom;Apartamento;0.0;26980;-8.037054;-34.896105;2025;2025;4;2025;17;4968.566213749747;0;High;Large;1
rua teles júnior;80;apto 0502 edf conde de luxemburgo;584308.15;Encruzilhada;1982;1139.56;230.71;0.07142;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-28;Bom;Apartamento;0.0;60461;-8.037443;-34.896321;2025;2025;3;2025;43;2532.6520306878765;0;High;Extra Large;1
rua general artur oscar;30;apto 505 edf studio rosarinho prince;450000.0;Encruzilhada;2006;1733.33;97.16;0.00915;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-13;Bom;Apartamento;0.0;8494;-8.036256;-34.896484;2025;2025;5;2025;19;4631.535611362701;0;Medium-High;Medium;1
rua teles junior;230;apto 1701 edf saint victor;960000.0;Encruzilhada;2007;962.0;169.56;0.025;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-10;Bom;Apartamento;0.0;60461;-8.036981;-34.897544;2025;2025;2;2025;18;5661.712668082095;0;High;Large;1
av santos dumont;530;apto 1902 edf praia de imbituba;690000.0;Encruzilhada;2005;2008.04;140.76;0.01172;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-05;Bom;Apartamento;0.0;53996;-8.036702;-34.897418;2025;2025;2;2025;20;4901.9607843137255;0;High;Large;1
av santos dumont;576;apto 0303 edf ana carolina;315000.0;Encruzilhada;1984;1080.3;99.2;0.04166;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-09;Bom;Apartamento;0.0;53996;-8.036317;-34.897352;2025;2025;5;2025;41;3175.4032258064517;0;Medium-Low;Medium;1
av santos dumont;576;apto 0302 edf ana carolina;345000.0;Encruzilhada;1984;1080.3;99.2;0.04166;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-18;Bom;Apartamento;0.0;53996;-8.036317;-34.897352;2025;2025;3;2025;41;3477.822580645161;0;Medium-Low;Medium;1
av santos dumont;616;loja 0007 edf galeria d bel;200000.0;Encruzilhada;1997;784.0;30.87;0.06334;Médio;Loja <= 4 Pavimentos;COMERCIAL SEM LIXO ORGANICO;2025-04-10;Bom;Loja;0.0;53996;-8.035918;-34.897436;2025;2025;4;2025;28;6478.78198898607;0;Low;Small;1
rua teles junior;217;apto 0102 edf juncos;700000.0;Aflitos;1986;1287.56;223.57;0.04053;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-25;Bom;Apartamento;0.0;60461;-8.037469;-34.897611;2025;2025;2;2025;39;3131.0104217918324;0;High;Extra Large;1
rua teles junior;217;apto 0501 edf juncos;800000.0;Aflitos;1986;1287.56;200.74;0.03639;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-26;Bom;Apartamento;550000.0;60461;-8.037469;-34.897611;2025;2025;3;2025;39;3985.254558134901;1;High;Extra Large;1
rua teles junior;105;apto 0101 edf saint bernard;755000.0;Aflitos;2000;1566.97;202.31;0.025;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-13;Bom;Apartamento;0.0;60461;-8.037914;-34.896594;2025;2025;3;2025;25;3731.896594335426;0;High;Extra Large;1
rua teles júnior;65;apto 0701 edf praia de indaiatuba;750000.0;Aflitos;2004;2265.11;195.43;0.01607;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-16;Bom;Apartamento;600000.0;60461;-8.03798;-34.896366;2025;2025;4;2025;21;3837.6912449470396;1;High;Large;1
rua teles junior;65;apto 0601 edf praia de indaiatuba;800000.0;Aflitos;2004;2265.11;195.43;0.01607;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-11;Bom;Apartamento;50000.0;60461;-8.03798;-34.896366;2025;2025;3;2025;21;4093.537327943509;1;High;Large;1
rua teles junior;33;apto 1001 edf pedro lima;619936.68;Aflitos;1987;1384.5;215.21;0.03472;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-24;Bom;Apartamento;0.0;60461;-8.038124;-34.896104;2025;2025;1;2025;38;2880.612796803123;0;High;Extra Large;1
rua teles junior;33;apto 0601 edf pedro lima;605518.04;Aflitos;1987;1384.5;215.21;0.03472;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-06-03;Bom;Apartamento;0.0;60461;-8.038124;-34.896104;2025;2025;6;2025;38;2813.6147948515404;0;High;Extra Large;1
rua carneiro vilela;486;apto 0102 edf oiteiro;500000.0;Aflitos;1980;1617.72;165.22;0.03333;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-15;Bom;Apartamento;400000.0;15270;-8.038485;-34.89631;2025;2025;4;2025;45;3026.2680062946374;1;Medium-High;Large;1
rua carneiro vilela;510;apto 902 edf residencias do espinheiro;728500.83;Aflitos;2007;871.53;209.6;0.04166;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-23;Bom;Apartamento;450000.0;15270;-8.038412;-34.896535;2025;2025;4;2025;18;3475.671898854962;1;High;Extra Large;1
rua carneiro vilela;510;apto 402 edf residencias do espinheiro;707383.2;Aflitos;2007;871.53;209.6;0.04166;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-15;Bom;Apartamento;450000.0;15270;-8.038412;-34.896535;2025;2025;4;2025;18;3374.919847328244;1;High;Extra Large;1
rua carneiro vilela;534;SEM COMPLEMENTO;1976000.0;Aflitos;1973;987.98;259.55;1.0;Simples;Casa;RESIDENCIAL;2025-03-21;Bom;Casa;0.0;15270;-8.038302;-34.896796;2025;2025;3;2025;52;7613.176651897515;0;High;Extra Large;1
rua carneiro vilela;578;apto 0203 edf moet e chandon;330000.0;Aflitos;1983;1839.99;101.18;0.01531;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-16;Bom;Apartamento;0.0;15270;-8.038159;-34.897056;2025;2025;4;2025;42;3261.5141332279104;0;Medium-Low;Large;1
rua desembargador martins pereira;81;apto 702 edf. sainte bruna;878400.0;Rosarinho;2023;954.1;170.39;0.02941;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-10;Bom;Apartamento;0.0;43400;;;2025;2025;4;2025;2;5155.232114560714;0;High;Large;0
rua desembargador martins pereira;81;apto 901 edf. sainte bruna;835870.81;Rosarinho;2023;954.1;170.39;0.02941;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-01;Bom;Apartamento;0.0;43400;;;2025;2025;2;2025;2;4905.633018369624;0;High;Large;0
rua desembargador martins pereira;81;apto 101 edf. sainte bruna;797441.19;Rosarinho;2023;954.1;170.39;0.02941;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-17;Bom;Apartamento;0.0;43400;;;2025;2025;3;2025;2;4680.093843535419;0;High;Large;0
rua desembargador martins pereira;81;apto 602 edf. sainte bruna;821247.33;Rosarinho;2023;954.1;170.39;0.02941;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-08;Bom;Apartamento;0.0;43400;;;2025;2025;1;2025;2;4819.809437173543;0;High;Large;0
rua desembargador martins pereira;81;apto 1101 edf. sainte bruna;855000.0;Rosarinho;2023;954.1;170.39;0.02941;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-21;Bom;Apartamento;674400.0;43400;;;2025;2025;3;2025;2;5017.900111508892;1;High;Large;0
rua caio pereira;30;apto 702 edf saint romain;1370000.0;Rosarinho;2008;1914.25;249.11;0.021;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-10;Bom;Apartamento;900000.0;13269;-8.034572;-34.899613;2025;2025;2;2025;17;5499.578499458071;1;High;Extra Large;1
rua caio pereira;30;apto 1202 edf saint romain;1380000.0;Rosarinho;2008;1914.25;249.11;0.021;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-18;Bom;Apartamento;580000.0;13269;-8.034572;-34.899613;2025;2025;3;2025;17;5539.721408213239;1;High;Extra Large;1
rua regueira costa;75;apto 0601 edf van garden;850000.0;Rosarinho;2003;1111.52;183.7;0.03125;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-25;Bom;Apartamento;550000.0;57029;-8.034796;-34.898693;2025;2025;3;2025;22;4627.10941752858;1;High;Large;1
rua regueira costa;75;apto 0302 edf van garden;800000.0;Rosarinho;2003;1111.52;183.7;0.03125;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-21;Bom;Apartamento;0.0;57029;-8.034796;-34.898693;2025;2025;5;2025;22;4354.926510615133;0;High;Large;1
rua regueira costa;75;apto 0302 edf van garden;800000.0;Rosarinho;2003;1111.52;183.7;0.03125;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-21;Bom;Apartamento;0.0;57029;-8.034796;-34.898693;2025;2025;5;2025;22;4354.926510615133;0;High;Large;1
rua doutor jose maria;866;apto 0902 edf henrique v;418408.49;Rosarinho;2000;938.0;121.25;0.02219;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-08;Bom;Apartamento;292000.0;36196;-8.035069;-34.898845;2025;2025;1;2025;25;3450.7916701030927;1;Medium-High;Large;1
rua doutor jose maria;900;apto 202 torre b - country;850000.0;Rosarinho;2010;2400.0;171.14;0.01;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-21;Bom;Apartamento;587631.18;36196;-8.034982;-34.899327;2025;2025;1;2025;15;4966.693934790231;1;High;Large;1
rua doutor jose maria;900;apto 2301 torre a - jaqueira;850000.0;Rosarinho;2010;2400.0;171.14;0.01;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-15;Bom;Apartamento;0.0;36196;-8.034982;-34.899327;2025;2025;5;2025;15;4966.693934790231;0;High;Large;1
rua carneiro vilela;685;SEM COMPLEMENTO;780000.0;Aflitos;1955;288.0;199.09;1.0;Simples;Casa;RESIDENCIAL;2025-04-10;Bom;Casa;0.0;15270;-8.038078;-34.898136;2025;2025;4;2025;70;3917.8261087950173;0;High;Large;1
rua manuel de carvalho;307;apto 102 edf praca das cerejeiras;310000.0;Aflitos;2014;1108.0;78.67;0.02396;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-19;Bom;Apartamento;0.0;41564;-8.039399;-34.896209;2025;2025;2;2025;11;3940.5109952968096;0;Medium-Low;Medium;1
